DATE,STATE,CHANNEL,Average Sale,Difference in Sale,GAME
11/28/2015,Alabama,DRUG STORE,413.1874441,13618.84,Away(2015)-Home(2014)
9/5/2015,Alabama,GROCERY,1293.946752,-16391.12,Away(2015)-Home(2014)
10/17/2015,Alabama,GROCERY,1672.132906,-6390.21,Away(2015)-Home(2014)
11/14/2015,Alabama,GROCERY,1238.60592,10991.29,Away(2015)-Home(2014)
11/28/2015,Alabama,GROCERY,1484.732055,-6548.36,Away(2015)-Home(2014)
9/5/2015,Alabama,MASS MERCHANDISER,400.3802018,48811.27,Away(2015)-Home(2014)
10/17/2015,Alabama,MASS MERCHANDISER,490.156643,-37476.06,Away(2015)-Home(2014)
11/14/2015,Alabama,MASS MERCHANDISER,423.8230243,-91277.06,Away(2015)-Home(2014)
11/28/2015,Alabama,MASS MERCHANDISER,399.1702033,-27238.49,Away(2015)-Home(2014)
9/5/2015,Alabama,CONVENIENCE STORE,435.5075447,-1701.41,Away(2015)-Home(2014)
10/17/2015,Alabama,CONVENIENCE STORE,437.0636161,-465.41,Away(2015)-Home(2014)
11/14/2015,Alabama,CONVENIENCE STORE,406.2047322,-1859.3,Away(2015)-Home(2014)
11/28/2015,Alabama,CONVENIENCE STORE,457.16375,-3377.86,Away(2015)-Home(2014)
9/5/2015,Alabama,DRUG STORE,543.485,771.17,Away(2015)-Home(2014)
10/17/2015,Alabama,DRUG STORE,656.1271429,-272.7,Away(2015)-Home(2014)
11/14/2015,Alabama,DRUG STORE,531.9728572,1519.64,Away(2015)-Home(2014)
11/28/2015,Alabama,DRUG STORE,595.1033333,964.14,Away(2015)-Home(2014)
9/5/2015,Alabama,GROCERY,973.5494284,-2390.44,Away(2015)-Home(2014)
10/17/2015,Alabama,GROCERY,1112.192572,3523.84,Away(2015)-Home(2014)
11/14/2015,Alabama,GROCERY,899.5342857,-594.46,Away(2015)-Home(2014)
11/28/2015,Alabama,GROCERY,1111.279715,319.02,Away(2015)-Home(2014)
9/5/2015,Alabama,MASS MERCHANDISER,418.2110896,-947.12,Away(2015)-Home(2014)
10/17/2015,Alabama,MASS MERCHANDISER,510.2349637,-5784.7,Away(2015)-Home(2014)
11/14/2015,Alabama,MASS MERCHANDISER,454.9962976,-10595.77,Away(2015)-Home(2014)
11/28/2015,Alabama,MASS MERCHANDISER,407.0607834,-2961.58,Away(2015)-Home(2014)
9/5/2015,Alabama,CONVENIENCE STORE,352.1833288,-9539.6,Away(2015)-Home(2014)
10/17/2015,Alabama,CONVENIENCE STORE,360.8664022,1856.5,Away(2015)-Home(2014)
11/14/2015,Alabama,CONVENIENCE STORE,317.8695093,16556.8,Away(2015)-Home(2014)
11/28/2015,Alabama,CONVENIENCE STORE,340.605169,22322.9,Away(2015)-Home(2014)
9/5/2015,Alabama,DRUG STORE,396.4936616,7497.14,Away(2015)-Home(2014)
10/17/2015,Alabama,DRUG STORE,466.028034,-11055.76,Away(2015)-Home(2014)
11/14/2015,Alabama,DRUG STORE,398.188991,7013.32,Away(2015)-Home(2014)
11/28/2015,Alabama,DRUG STORE,446.0011905,8814,Away(2015)-Home(2014)
9/5/2015,Alabama,GROCERY,943.5615449,-17933.03,Away(2015)-Home(2014)
10/17/2015,Alabama,GROCERY,1198.413256,16732.92,Away(2015)-Home(2014)
11/14/2015,Alabama,GROCERY,906.8096678,1300.64,Away(2015)-Home(2014)
11/28/2015,Alabama,GROCERY,1160.615532,-20688.47,Away(2015)-Home(2014)
9/5/2015,Alabama,MASS MERCHANDISER,409.2969241,52183.16,Away(2015)-Home(2014)
10/17/2015,Alabama,MASS MERCHANDISER,505.5491824,-32417.88,Away(2015)-Home(2014)
11/14/2015,Alabama,MASS MERCHANDISER,431.779988,-51200.19,Away(2015)-Home(2014)
11/28/2015,Alabama,MASS MERCHANDISER,409.6911204,-18398.05,Away(2015)-Home(2014)
9/5/2015,Alabama,CONVENIENCE STORE,352.9312034,-909.28,Away(2015)-Home(2014)
10/17/2015,Alabama,CONVENIENCE STORE,364.9583263,11471.33,Away(2015)-Home(2014)
11/14/2015,Alabama,CONVENIENCE STORE,316.0919728,16574.48,Away(2015)-Home(2014)
11/28/2015,Alabama,CONVENIENCE STORE,346.4853317,20519.53,Away(2015)-Home(2014)
9/5/2015,Alabama,DRUG STORE,368.6682941,6683.57,Away(2015)-Home(2014)
10/17/2015,Alabama,DRUG STORE,437.7879247,-7793.83,Away(2015)-Home(2014)
11/14/2015,Alabama,DRUG STORE,372.2657395,6885.49,Away(2015)-Home(2014)
11/28/2015,Alabama,DRUG STORE,410.5942787,9432.77,Away(2015)-Home(2014)
9/5/2015,Alabama,GROCERY,885.6277755,-17403.01,Away(2015)-Home(2014)
10/17/2015,Alabama,GROCERY,1129.712572,11822.9,Away(2015)-Home(2014)
11/14/2015,Alabama,GROCERY,882.1166735,-2583.33,Away(2015)-Home(2014)
11/28/2015,Alabama,GROCERY,1131.456122,-4204.64,Away(2015)-Home(2014)
9/5/2015,Alabama,MASS MERCHANDISER,415.3757536,47281.48,Away(2015)-Home(2014)
10/17/2015,Alabama,MASS MERCHANDISER,517.1965833,-15960.73,Away(2015)-Home(2014)
11/14/2015,Alabama,MASS MERCHANDISER,435.1993674,-20448.61,Away(2015)-Home(2014)
11/28/2015,Alabama,MASS MERCHANDISER,416.7493228,-13636.15,Away(2015)-Home(2014)
10/10/2015,Maryland,DRUG STORE,801.4112821,-14533.62,Home(2015)-Away(2014)
10/31/2015,Maryland,DRUG STORE,1489.131475,4287.93,Home(2015)-Away(2014)
11/21/2015,Maryland,DRUG STORE,674.8531624,-5758.7,Home(2015)-Away(2014)
12/19/2015,Maryland,DRUG STORE,1042.956603,-5906.35,Home(2015)-Away(2014)
10/10/2015,Maryland,GROCERY,2058.646667,22679.04,Home(2015)-Away(2014)
10/31/2015,Maryland,GROCERY,3120.396579,9073.44,Home(2015)-Away(2014)
11/21/2015,Maryland,GROCERY,1686.63079,10731.72,Home(2015)-Away(2014)
12/19/2015,Maryland,GROCERY,2200.223684,1698.32,Home(2015)-Away(2014)
10/10/2015,Maryland,MASS MERCHANDISER,1112.190524,-12407.14,Home(2015)-Away(2014)
10/31/2015,Maryland,MASS MERCHANDISER,2450.643857,34645.48,Home(2015)-Away(2014)
11/21/2015,Maryland,MASS MERCHANDISER,923.6486667,2888.52,Home(2015)-Away(2014)
12/19/2015,Maryland,MASS MERCHANDISER,1659.808167,-13941.53,Home(2015)-Away(2014)
10/10/2015,Maryland,CONVENIENCE STORE,577.6030556,762.65,Home(2015)-Away(2014)
10/31/2015,Maryland,CONVENIENCE STORE,595.3369445,1047.31,Home(2015)-Away(2014)
11/21/2015,Maryland,CONVENIENCE STORE,564.3875,1044.97,Home(2015)-Away(2014)
12/19/2015,Maryland,CONVENIENCE STORE,539.0852778,1305.73,Home(2015)-Away(2014)
10/10/2015,Maryland,DRUG STORE,595.7671667,755.39,Home(2015)-Away(2014)
10/31/2015,Maryland,DRUG STORE,937.8606667,2502.62,Home(2015)-Away(2014)
11/21/2015,Maryland,DRUG STORE,526.7803334,-2703.46,Home(2015)-Away(2014)
12/19/2015,Maryland,DRUG STORE,1557.214334,-1638.04,Home(2015)-Away(2014)
10/10/2015,Maryland,GROCERY,2334.357084,-4815.64,Home(2015)-Away(2014)
10/31/2015,Maryland,GROCERY,3668.174792,-7770.99,Home(2015)-Away(2014)
11/21/2015,Maryland,GROCERY,2053.26,-3455.52,Home(2015)-Away(2014)
12/19/2015,Maryland,GROCERY,3224.991459,-2402.75,Home(2015)-Away(2014)
10/10/2015,Maryland,MASS MERCHANDISER,620.6339881,-944.09,Home(2015)-Away(2014)
10/31/2015,Maryland,MASS MERCHANDISER,1134.465655,880.75,Home(2015)-Away(2014)
